NOME DA CAMPANHA;DESCRIÇÃO;DATA INI;DATA FIM;VLD /CASHBACK;INVESTIMENTO;MAX/CPF;BLOQUEIO;REFERENCIA
08-SEMANA-HEINEKEN-02;Oferta válida para compras realizadas por pessoas físicas com limite de R$ 27,00 por CPF, nas lojas Mateus Supermercados, Mix Atacarejo e Camiño do estado do Maranhão com exceção de Caxias e Timon. Vigente de 28/06/2021 a 01/07/2021 ou enquanto durarem os estoques.;28/06/2021;01/07/2021;90;R$ 30.000,00;R$ 27,00;7;HEINEKEN
EAN(S);NOME DO PRODUTO ;GATILHO;CASHBACK;;;;;
7896045504831;Amstel Lager Lata 350ml;1; R$ 0,52 ;;;;;
7896045506323;Amstel Lager Lata 350ml;1; R$ 0,52 ;;;;;
7898367983790;Eisenbahn Pilsen Lata 350ml;1; R$ 0,70 ;;;;;
7898367983806;Eisenbahn Pilsen Lata 350ml;1; R$ 0,70 ;;;;;
7898367980010;Eisenbahn Pilsen Vidro 355ml;1; R$ 0,84 ;;;;;
7898367980850;Eisenbahn Pilsen Vidro 355ml;1; R$ 0,84 ;;;;;
7898367983615;Eisenbahn Pilsen Vidro 600ml;1; R$ 1,40 ;;;;;
7898367983639;Eisenbahn Pilsen Vidro 600ml;1; R$ 1,40 ;;;;;
7898367983813;Eisenbahn IPA Vidro 355ml;1; R$ 1,00 ;;;;;
7898367983820;Eisenbahn IPA Vidro 355ml;1; R$ 1,00 ;;;;;
7898367980034;Eisenbahn Pale Ale Vidro 355ml;1; R$ 1,00 ;;;;;
7898367980805;Eisenbahn Pale Ale Vidro 355ml;1; R$ 1,00 ;;;;;
7898367980041;Eisenbahn Weizenbier Vidro 355ml;1; R$ 1,00 ;;;;;
7898367980829;Eisenbahn Weizenbier Vidro 355ml;1; R$ 1,00 ;;;;;
